"Year","Month","Day","site","mean_temp_c","max_temp_c","min_temp_c"
2002,7,19,"MOHK",16.4714,17.47,15.23
2002,7,19,"NAPL",16.3748,17.93,14.87
2002,7,20,"AQUE",16.4306,17.49,15.03
2002,7,20,"CARP",17.1179,18.32,15.75
2002,7,20,"MOHK",16.7733,17.78,15.23
2002,7,20,"NAPL",16.6811,17.49,15.04
2002,7,21,"AQUE",15.5484,16.34,14.77
2002,7,21,"CARP",17.1636,18.51,16.36
2002,7,21,"MOHK",16.3753,17.78,14.67
2002,7,21,"NAPL",15.7613,16.78,14.26
2002,7,22,"AQUE",14.955,16.88,12.87
2002,7,22,"CARP",17.7227,19.22,15.83
2002,7,22,"MOHK",16.8151,18.08,15.75
2002,7,22,"NAPL",15.1666,16.34,14.17
2002,7,23,"AQUE",15.0099,16.61,13.82
2002,7,23,"CARP",16.8265,18.32,15.92
2002,7,23,"MOHK",16.6187,18.17,15.32
2002,7,23,"NAPL",16.1844,17.05,14.87
2002,7,24,"AQUE",16.1809,17.67,14.77
2002,7,24,"CARP",16.5458,18.59,14.88
2002,7,24,"MOHK",16.2218,18.31,13.84
2002,7,24,"NAPL",16.4258,17.49,14.34
2002,7,25,"AQUE",15.7394,16.88,13.64
2002,7,25,"CARP",16.4143,18.59,14.79
2002,7,25,"MOHK",16.295,18.22,13.58
2002,7,25,"NAPL",16.4153,17.84,13.57
2002,7,26,"AQUE",16.1975,17.58,14.51
2002,7,26,"CARP",16.9795,18.59,15.23
2002,7,26,"MOHK",16.4595,18.35,13.15
2002,7,26,"NAPL",16.4641,18.11,13.48
2002,7,27,"AQUE",15.7459,17.76,13.04
2002,7,27,"CARP",15.6959,17.79,14.88
2002,7,27,"MOHK",16.5987,18.44,13.67
2002,7,27,"NAPL",14.767,17.4,12.81
2002,7,28,"AQUE",16.0051,17.84,13.3
2002,7,28,"CARP",17.4067,19.31,15.58
2002,7,28,"MOHK",16.8706,18.71,13.24
2002,7,28,"NAPL",15.5895,18.2,13.23
2002,7,29,"AQUE",15.4055,17.41,13.82
2002,7,29,"CARP",16.2524,18.77,14.97
2002,7,29,"MOHK",16.0709,18.44,13.67
2002,7,29,"NAPL",15.1113,17.13,13.23
2002,7,30,"AQUE",15.8087,17.32,14.25
2002,7,30,"CARP",17.529,18.95,15.58
2002,7,30,"MOHK",16.7882,18.31,14.62
2002,7,30,"NAPL",16.5004,17.75,14.09
2002,7,31,"AQUE",16.2888,17.49,15.12
2002,7,31,"CARP",17.8558,18.59,16.81
2002,7,31,"MOHK",16.3844,17.64,14.62
2002,7,31,"NAPL",17.0321,17.76,16.08
2002,8,1,"AQUE",16.8597,18.11,14.94
2002,8,1,"CARP",18.1576,19.04,16.81
2002,8,1,"MOHK",16.8238,18.13,15.41
2002,8,1,"NAPL",17.1081,17.67,16.26
2002,8,2,"AQUE",17.1683,17.84,15.73
2002,8,2,"CARP",17.6309,18.51,14.36
2002,8,2,"MOHK",17.1922,17.87,15.8
2002,8,2,"NAPL",17.3316,17.84,16.78
2002,8,3,"AQUE",16.9144,17.67,15.99
2002,8,3,"CARP",15.4219,17.69,14.27
2002,8,3,"MOHK",15.7496,17.56,13.32
2002,8,3,"NAPL",17.0997,17.67,15.47
2002,8,4,"AQUE",15.0629,17.23,12.87
2002,8,4,"CARP",14.5322,17.26,13.33
2002,8,4,"MOHK",15.1114,17.96,12.81
